key,cleaned_tokens,label,label2
k0,"port,five,people,court,today,causing,death,friend,swimming,pool,last,week,accused,d,b,r,guilty,charge,read,magistrate,jointly,accused,causing,death,hotel,swimming,pool,port,charge,section,penal,code,read,together,section,act,maximum,jail,term,two,fine,upon,conviction,deputy,public,prosecutor,bail,accused,court,impose,additional,condition,disturb,prosecution,case,resolved,court,accused,bail,one,surety,lawyer,wan,wan,court,five,accused,guilty,second,charge,allegedly,port,police,headquarters,court,bail,fixed,mention",Murder and Homicide,Murder and Homicide
k1,"session,court,businessman,three,allegedly,deceiving,acquaintance,payment,overdue,tax,inland,revenue,board,judge,found,defence,successfully,raised,reasonable,doubt,case,therefore,accused,three,said,accused,deceiving,tricking,settling,overdue,tax,transfer,million,bank,account,accused,section,penal,code,imprisonment,one,ten,may,include,fine,upon,conviction,four,prosecution,one,defence,witness,namely,accused,trial,deputy,public,prosecutor,handled,prosecution,accused,lawyer,d",Money Laundering,Money Laundering
k3,"former,chief,executive,officer,automotive,institute,one,year,prison,two,session,today,fraudulently,million,automotive,training,contract,million,cash,ordered,prison,automotive,institute,former,run,concurrently,today,first,instance,judge,one,year,prison,guilty,alternative,charge,deceiving,board,bod,believing,learning,contract,price,million,actually,million,led,board,award,company,million,contract,training,provider,central,east,coast,southern,also,ordered,accused,serve,additional,prison,term,accused,settle,fine,hotel,along,section,penal,code,one,ten,imprisonment,fine,upon,conviction,judge,one,year,prison,ordered,confiscation,asset,worth,million,guilty,another,alternative,charge,million,cash,man,bank,section,shah,accused,section,penal,code,maximum,imprisonment,two,fine,upon,conviction,however,initial,main,section,section,penal,code,section,aa,commission,act,section,proceeds,unlawful,act,taken,consideration,section,criminal,procedure,code,deputy,public,law,chin,alias,handled,prosecution,accused",Money Laundering,Money Laundering
k4,"pekan,body,late,buried,cemetery,today,van,carrying,former,sultan,student,cemetery,brought,forensic,department,funeral,murder,victim,family,state,investment,industry,science,technology,innovation,committee,chairman,state,government,also,present,ceremony,remains,found,oil,palm,plantation,sri,hulu,missing,since,last,rental,car,customer,following,police,officer,assist,investigation,related,case,section,penal,code",Murder and Homicide,Murder and Homicide
k5,"police,uncovered,cocaine,laboratory,three,man,wife,two,police,also,cocaine,worth,million,crime,investigation,department,collaboration,united,drug,enforcement,administration,director,chin,said,operation,man,wife,aged,condominium,unit,along,upon,searching,unit,police,found,cocaine,kept,preliminary,found,man,runner,wife,supply,said,press,conference,police,headquarters,today,preliminary,also,found,couple,rented,unit,used,store,cocaine,laboratory,since,month,following,arrest,said,police,man,also,acting,runner,syndicate,apartment,chemical,powder,unit,added,preliminary,found,syndicate,active,since,early,year,used,place,process,store,cocaine,distributed,overseas,via,air,transport,one,tested,positive,eight,prior,criminal,drug,man,wife,seven,day,man,four,day,said,case,section,b,dangerous,act",Drug Offences,Drug Offences
k6,"court,fixed,august,man,guilty,charge,woman,intent,outrage,modesty,made,plea,charge,read,court,interpreter,magistrate,set,bail,two,local,magistrate,also,ordered,surrender,passport,court,report,nearest,police,station,pending,disposal,case,criminal,force,woman,therapist,outrage,modesty,spa,island,section,penal,code,imprisonment,fine,whipping,two,upon,conviction,deputy,public,prosecutor,prosecution,lawyer",Others,Others
k8,"former,security,guard,death,penalty,federal,court,year,prison,sentence,murdering,teenage,daughter,ago,panel,led,chief,justice,tun,tuan,mat,handed,prison,sentence,d,application,review,death,sentence,judge,along,federal,court,judge,court,appeal,judge,ordered,prison,sentence,start,date,arrest,found,guilty,murdering,oil,palm,plantation,june,deputy,public,prosecutor,court,uphold,death,penalty,victim,still,child,time,brutally,beaten,neck,burned,however,lawyer,review,application,death,high,court,appeal,court,appeal,march,federal,court,sitting,august,also,upheld,death,sentence,meanwhile,court,also,set,aside,death,penalty,found,guilty,murdering,stabbing,time,pouring,formic,acid,head,hospital,day,later,court,death,penalty,year,prison,sentence,starting,date,arrest,court,maintain,death,sentence,victim,pregnant,time,incident,meant,took,two,lawyer,said,client,admitted,act,ulu,police,station,family,incident,prison,session,court,pleading,guilty,murder,knife,addition,another,year,prison,sentence,splashing,formic,acid,seriously,victim,baru,redan,court,appeal,charge,section,penal,code,murder,resulting,death,penalty,upheld,federal,court,march,meanwhile,former,police,corporal,also,death,penalty,prison,murdering,pregnant,court,ordered,serve,sentence,starting,date,arrest,murdering,woman,bandar,death,penalty,upheld,autopsy,report,revealed,cause,death,severe,blow,blunt,object,head,deceased,also,body,baby,womb,also,six,old,applicant,two,also,victim,pleading,beaten,applicant,said,lawyer,shah,said,client,intended,take,victim,medical,treatment,may,court,appeal,upheld,conviction,death,sentence,federal,court,also,decision",Murder and Homicide,Murder and Homicide
k9,"federal,court,upheld,death,sentence,man,stepson,ago,panel,led,chief,justice,tun,tuan,mat,made,unanimous,decision,reject,application,review,death,sentence,life,imprisonment,accordance,sentence,death,imprisonment,natural,life,temporary,jurisdiction,federal,court,act,accepted,objection,review,application,set,aside,death,sentence,application,accused,hereby,sentence,upheld,said,sat,federal,court,attorney,division,head,review,application,court,uphold,death,sentence,accused,lawyer,autopsy,discovered,body,particularly,head,abdomen,resulting,strong,blunt,object,according,witness,employee,accused,stop,beating,victim,told,stay,family,said,meanwhile,court,set,aside,death,sentence,allow,review,client,deeply,suffering,several,antisocial,personality,disorder,hypertension,chronic,hepatitis,c,june,high,court,death,finding,guilty,murdering,dan,aged,six,oil,palm,plantation,pinang,appeal,court,appeal,federal,court,subsequently,upheld,conviction,sentence,according,case,day,incident,heading,workplace,victim,told,accused,urinate,defecate,hard,cheek,upon,location,victim,child,beat,repeatedly,tree,branch,child,took,child,hospital,pronounced,dead",Murder and Homicide,Murder and Homicide
k10,"court,appeal,reduced,year,prison,sentence,man,physical,sexual,assault,three,young,however,panel,led,che,upheld,initially,session,court,father,six,panel,included,appeal,conviction,appeal,sentence,reduction,justice,che,said,man,adduce,session,high,court,also,lower,decision,former,driver,found,guilty,session,court,five,sexually,five,house,june,may,may,respectively,faced,two,sexually,two,similar,one,count,sexually,accused,total,prison,cane,march,last,year,high,court,conviction,sentence,eight,prison,two,cane,count,older,imprisonment,two,cane,daughter,today,court,appeal,reduced,initial,jail,term,six,year,imprisonment,eight,deputy,public,prosecutor,prosecution,man,lawyer,national,legal,aid,foundation",Sexual Harassment or Sexual Offences or Rape,Sexual Harassment or Sexual Offences or Rape
k11,"investment,consultant,guilty,session,court,today,four,money,nearly,million,last,year,nizam,plea,read,judge,according,owner,growth,venture,transferred,proceeds,unlawful,belonging,four,four,allegedly,bank,mall,branch,last,year,framed,section,b,proceeds,unlawful,act,imprisonment,also,le,five,time,amount,value,proceeds,unlawful,activity,million,whichever,higher,deputy,public,prosecutor,bail,charge,serious,public,concern,lawyer,pang,kit,accused,lower,bail,client,struggling,find,job,due,case,three,aged,one,care,court,set,bail,one,surety,one,surety,charge,ordered,nizam,report,nearest,police,station,first,day,month,case,set,mention,august",Money Laundering,Money Laundering
